local_authority,brownfield_register_url,updated
local-authority-eng:RCC,http://www.redcar-cleveland.gov.uk/rcbcweb.nsf/E362D0843A70155880257D640049A543/%24FILE/redcarandcleveland_brownfieldregister_2017-11-10_rev1.csv,https://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018/redcarandcleveland_brownfieldregister_2018-12-11_rev1.csv
local-authority-eng:RIH,https://www.richmondshire.gov.uk/media/8380/brownfield-land-register-part-1-csv-format.csv,
local-authority-eng:ROC,https://www.rochford.gov.uk/brownfield-register-2018-excel-file,
local-authority-eng:SAL,https://www.stalbans.gov.uk/Images/SP_CSV_st-albans_brownfieldregister_2017-12-31_rev1_tcm15-62593.csv,https://www.stalbans.gov.uk/Images/SP_CSV_st-albans_brownfieldregister_2018-12-31_rev1_tcm15-66446.csv
local-authority-eng:SBU,http://www.southbucks.gov.uk/media/11736/SB-Brownfield-Register-Part-1/CSV/SB_Brownfield_Register_-_Part_1.csv,https://www.southbucks.gov.uk/media/12652/South-Bucks-Brownfield-Land-Register-Part-1/CSV/SB_Brownfield_Register_-_Part_1.csv?m=636800581923700000
local-authority-eng:SDE,http://www.south-derbys.gov.uk/assets/attach/3720/South-Derbyshire_brownfieldregister_2017-12-31_rev1.excel.csv,
local-authority-eng:SEV,https://www.sevenoaks.gov.uk/download/downloads/id/1042/brownfield_land_register_-_december_2017.xlsx,https://www.sevenoaks.gov.uk/downloads/file/1392/brownfield_land_register_-_december_2018_csv_file
local-authority-eng:SHA,https://www.southhams.gov.uk/media/2527/south-hams-brownfieldregister-2017-12-22-rev1/xls/south-hams_brownfieldregister_2017-12-22_rev1.xlsx,https://www.southhams.gov.uk/media/4660/South-Hams-Brownfield-Land-Excel-Spreadsheet-/xls/SH_Brown_Field_Register_20181.xlsx
local-authority-eng:SLG,http://www.slough.gov.uk/downloads/slough_brownfield_land_register_01-12-2017.csv,https://www.slough.gov.uk/downloads/slough_brownfieldregister_2018-12-13.csv
local-authority-eng:SOL,http://www.solihull.gov.uk/Portals/0/Planning/solihull-brownfield-register_2018-03-23.csv,https://www.solihull.gov.uk/Portals/0/Planning/BLR/Brownfield-Land-Register.csv
local-authority-eng:SSO,https://www.southsomerset.gov.uk/media/903585/southsomerset_brownfield_register_2017-11-16_rev1.csv,https://www.southsomerset.gov.uk/media/1220/j-plan_pol-web-site-2018-4-brownfield-brownfield-register-csv.csv
local-authority-eng:STA,https://www.staffordbc.gov.uk/sites/default/files/cme/DocMan1/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register.csv,https://www.staffordbc.gov.uk/node/159465
local-authority-eng:SWK,https://www.southwark.gov.uk/assets/attach/5763/Southwark%20Brownfield%202017.xlsx,https://www.southwark.gov.uk/assets/attach/5763/Southwark-Brownfield-2017.xlsx
local-authority-eng:SWL,https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/Brownfield-Land-Register-for-Website-PROTECTED-VERSION.xlsx,https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/Register-2018-October-update-for-website-PASSWORD-PROTECTED.xlsx
local-authority-eng:TEI,https://www.teignbridge.gov.uk/media/6172/brownfieldlandregisterteignbridge2017.csv,https://www.teignbridge.gov.uk/media/7724/2018-brf.xlsx
local-authority-eng:TEW,https://drive.google.com/open?id=1sc3-QVE9dEmkjwSEzp-DTHWNw7LAK_rh,
local-authority-eng:THR,https://www.thurrock.gov.uk/sites/default/files/assets/documents/brownfield-register-201712-v04.csv,https://www.thurrock.gov.uk/sites/default/files/assets/documents/brownfield-register-201904-v01.csv
local-authority-eng:TOB,http://www.torbay.gov.uk/media/10578/torbay_pilotbrownfieldregister_2017-12-31_rev1.csv,https://www.torbay.gov.uk/media/12172/torbay-pilotbrownfieldregister.xlsx
local-authority-eng:UTT,https://www.uttlesford.gov.uk/CHttpHandler.ashx?id=7478&p=0,https://www.uttlesford.gov.uk/media/7478/Brownfield-land-register-CSV-/CSV/Copy_of_Brownfield_Register_12.12.17.csv
local-authority-eng:WDE,https://www.westdevon.gov.uk/media/2525/west-devon-brownfieldregister-2017-12-22-rev1/xls/west-devon_brownfieldregister_2017-12-22_rev1.xlsx,https://www.westdevon.gov.uk/media/3654/Brownfield-Land-Register-West-Devon-2018-Excel-Spreadsheet-/xls/West_Devon_Brownfield_Register_2018.xlsx
local-authority-eng:WDO,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/west-dorset-and-weymouth-portland-planning-policy/local-plan-review/pdf/strategic-housing/west-dorset-district-council-brownfield-register-3rd-december-2017.csv,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/west-dorset-and-weymouth-portland/local-plan-review/pdf/strategic-housing/west-dorset-district-council-brownfield-register-3rd-december-2017.csv
local-authority-eng:WEW,http://welhat.gov.uk/CHttpHandler.ashx?id=12816&p=0,https://welhat.gov.uk/media/14921/Welwyn-Hatfield-Brownfield-Land-Register-2018-csv-/csv/welwynhatfield_brownfieldregister_2018_rev1.csv?m=636939572710200000
local-authority-eng:WEY,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/west-dorset-and-weymouth-portland-planning-policy/local-plan-review/pdf/strategic-housing/west-dorset-district-council-brownfield-register-3rd-december-2017.csv,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/west-dorset-and-weymouth-portland/local-plan-review/pdf/strategic-housing/weymouth-portland-borough-council-brownfield-register-3rd-december-2017.csv
local-authority-eng:WKF,http://www.wakefield.gov.uk/Documents/planning/planning-policy/wakefield_brownfieldregister_2017-12-31_rev1.csv,http://www.wakefield.gov.uk/Documents/planning/planning-policy/wakefield_brownfieldregister_2018-12-31_rev1.csv
local-authority-eng:WOX,http://www.westoxon.gov.uk/media/1710408/west-oxfordshire_brownfieldregister_november2017_rev0.csv,https://www.westoxon.gov.uk/media/1710408/west-oxfordshire_brownfieldregister_december2018_rev1.csv
local-authority-eng:WRL,https://www.wirral.gov.uk/sites/default/files/all/planning%20and%20building/Local%20plans%20and%20planning%20policy/Brownfield%20Register/Wirral_Brownfield_Register_2017-12-22_rev1.csv,https://www.wirral.gov.uk/sites/default/files/all/planning%20and%20building/Local%20plans%20and%20planning%20policy/Brownfield%20Register/2018/Wirral%20Brownfield%20Part1%20Sites%20Dec2018.csv
local-authority-eng:WYR,http://www.wyre.gov.uk/download/downloads/id/4390/wyre_council_brownfield_register_dec_2017.csv,http://www.wyre.gov.uk/download/downloads/id/5527/wyre_council_brownfield_register_september_2018.csv
national-park:3,http://www.dartmoor.gov.uk/__data/assets/file/0020/1024445/2017-Brownfield-Register-FINAL.csv,https://www.dartmoor.gov.uk/__data/assets/file/0020/1024445/2018-Brownfield-Register.csv
national-park:4,http://www.northyorkmoors.org.uk/__data/assets/file/0008/1057148/north-york-moors_brownfieldregister_2017-12-14_rev1.csv,https://www.northyorkmoors.org.uk/__data/assets/file/0007/1429792/north-york-moors_brownfieldregister_2018-12-17_rev1.csv
national-park:5,http://www.yorkshiredales.org.uk/__data/assets/file/0011/1059941/YorkshireDalesNationalParkE26000008_brownfield-register_2017-11-13_rev1.csv,https://www.yorkshiredales.org.uk/__data/assets/file/0011/1059941/DCLG-version-for-website-May-2019.csv
national-park:8,http://www.broads-authority.gov.uk/__data/assets/text_file/0004/1064128/broads_authority_brownfieldregister_2017-12-13_rev1.csv,https://www.broads-authority.gov.uk/__data/assets/text_file/0018/1432071/broads_authority_brownfieldregister_2018-12-20_rev1.csv
national-park:9,http://www.newforestnpa.gov.uk/app/uploads/2018/01/npark_E26000009_brownfieldregister_2017_12_20_rev5__002_.csv,https://www.newforestnpa.gov.uk/app/uploads/2018/01/npark_E26000009_brownfieldregister_Dec2018_v2.csv
